icd_code,root
25053,E11
42789,I47
7245,M48
4439,I73
V4975,R68
V4501,Z95
4230,I31
29041,F03
57510,K81
7336,M81
3499,G97
4370,I67
7242,M48
3453,G40
1369,L94
2252,D33
72888,M60
44421,I74
86803,
2920,F19
30421,F11
95912,T14
30501,F10
3488,G93
5932,N28
6084,N49
3079,F98
E8261,
5307,K22
25090,E11
3694,H54
7804,R45
2948,F04
I69354,I69
C9110,C91
G8194,G81
Z9282,Z92
M25512,M25
E0865,E08
Z950,Z95
Z9884,Z98
F259,F25
Z8547,Z85
M940,M94
J208,J20
E222,E22
Z6836,Z68
25070,E11
4423,I72
4263,I44
44381,I73
T8453XA,T84
S72301A,S72
M00861,M00
I9742,I97
Y792,Y79
Y92009,Y92
Z96653,Z96
Y831,Y83
I351,I35
J942,J94
I97411,I97
L97229,L97
T8453XD,T84
Y832,Y83
M4800,M48
Z9889,Z98
Z8669,Z86
Z8614,Z86
K5731,K57
G3184,G31
R55,R55
J15211,J15
E1151,E11
Z95828,Z95
9962,T82
V1204,
I7101,I71
I6529,I65
E663,E66
I82432,I82
R141,R14
S7221XA,S72
J156,J15
I772,I77
D7219,D72
L270,L27
T361X5A,T36
D510,D51
R319,R31
M8580,M85
S40021A,S40
Y95,Y95
Y92098,Y92
L03115,L03
J9382,J93
J982,J98
R600,R60
M726,M72
B181,B18
T8249XA,T82
B954,B95
B966,B96
L97514,L97
D329,D32
R488,R48
Z89421,Z89
0380,A40
25012,E11
6827,L03
6826,L03
70715,L89
6929,L24
I5042,I50
Q6432,Q64
Z87442,Z87
Z953,Z95
L03116,L03
H3530,H35
R5381,R53
F4329,F43
Z006,Z00
L723,L72
D702,D70
T370X5A,T37
R3911,R39
7843,G44
3569,G60
99702,
78194,R25
G1221,G12
Z9911,Z99
Z930,Z93
I319,I31
J9809,J98
Z434,Z43
R4182,R41
G3109,G31
T17990A,T17
R569,R56
N10,N10
E873,E87
D721,D72
J9610,J96
Z430,Z43
Z4689,Z46
Z931,Z93
T360X5A,T36
5400,K35
V1082,Z85
V4577,Z95
S32422A,S32
T402X1A,T40
F909,F90
M2550,M25
M549,M54
Z8619,Z86
1625,C33
81200,S42
E8859,
V1251,
9331,T17
E915,
I671,I67
F17200,F17
I6031,I60
R402142,R40
R402252,R40
R402362,R40
I341,I34
I97190,I97
82021,S72
43820,I69
43811,I69
78830,N23
4380,I69
E8889,
78701,R19
7821,R20
78550,R00
25060,E11
E9300,
04119,B95
04185,B95
85221,S06
4271,I47
3314,G30
E9174,
45341,I82
3897,H90
1251,
49320,J45
T43022A,T43
I21A1,I21
F332,F33
Z7289,Z72
F1190,F11
N3090,N30
R05,R05
Z915,Z91
5570,
514,J81
78838,N23
55329,K41
V4572,Z95
V552,
99830,T81
53012,K22
53290,K26
53190,K25
2800,D50
V5832,Z51
I5031,I50
I97618,I97
I97131,I97
I9752,I97
R079,R07
Y834,Y83
S065X0A,S06
W01190A,W01
G20,G20
Z85820,Z85
Z1159,Z11
Z9221,Z92
I25110,I25
Z8249,Z82
8054,S12
E8150,
Z01818,Z01
85220,S06
5855,N18
E8490,
V4365,
K529,K52
41519,I26
5693,K62
9248,S70
7140,M06
D599,D59
D46Z,D46
R823,R82
E790,E79
K264,K26
E8881,E88
C9590,C95
C946,C94
Z923,Z92
D471,D47
E860,E86
L271,L27
T504X5A,T50
T451X5A,T45
K259,K25
Z428,Z42
M952,M95
E11319,E11
T8149XA,T81
G060,G06
R531,R53
M75102,M75
I6201,I62
I6203,I62
H1133,H11
M5410,M54
2536,E22
7862,R06
78093,R45
J952,J95
S22061A,S22
S32011A,S32
S22018A,S22
R402132,R40
W208XXA,W20
Y92480,Y92
Z6820,Z68
M25422,M25
80707,S22
8600,S27
F438,F43
R292,R29
F845,F84
1571,C25
5579,
44489,I74
1977,C78
7824,R20
4568,I85
30503,F10
4471,I77
V1271,
3383,G89
56409,K59
78094,R45
56889,K66
E9358,
7200,M45
53560,K29
44021,I70
96501,
30550,F10
30560,F10
E9800,
V1209,
I6032,I60
M1712,M17
Z96651,Z96
K2270,K22
I481,I48
L0591,L05
O99411,O99
I6302,I63
I63012,I63
O9989,O99
D151,D15
R29705,R29
R270,R27
H538,H53
Z3A13,Z3A
O2651,O26
O99011,O99
29411,F04
3310,G30
2810,D51
V643,
78321,R63
25002,E11
29520,F20
4592,R58
E912,
75310,
57450,K80
27652,E87
5531,K41
K649,K64
41511,I26
V8541,Z68
7840,G44
30183,F60
V5419,Z51
03849,A40
4820,J15
34982,G97
20210,C82
78039,R45
1540,C19
73010,M86
3575,G61
5989,N35
51889,J98
3489,G93
7810,R25
V1255,
75261,
K8580,K85
E282,E28
K91840,K91
E213,E21
Z96652,Z96
Z952,Z95
R1319,R13
K222,K22
M797,M79
R12,R12
K562,K56
G40419,G40
T79A0XA,T79
K220,K22
C61,C61
5720,K75
5762,K91
56722,K67
7837,R63
9584,
86401,S36
51851,J98
9585,
8052,S12
80506,S12
4264,I44
83908,S13
86405,S36
5718,K70
86801,
86100,
86121,
86389,
60886,N49
6926,L24
E8654,
V140,
85201,S06
81342,S52
29420,F04
3682,H53
78729,R19
2819,D51
3898,H90
V4364,
T82310A,T82
I4820,I48
R269,R26
2858,D64
42983,I51
3804,H61
59689,N32
V1261,
V851,Z68
72400,M48
3899,H90
5305,K22
2752,E83
72981,M79
7813,R25
53089,K22
79319,R93
587,N26
V4511,Z95
V4512,Z95
78900,R10
K5190,K51
I9789,I97
Z933,Z93
81201,S42
44102,I71
71535,M15
D65,D65
R6510,R65
R350,R35
N281,N28
H18519,H18
I77810,I77
R778,R77
57511,K81
I5040,I50
J9589,J95
Y840,Y84
J069,J06
I495,I49
56211,K57
E9412,
29410,F04
7210,M47
78057,R45
C9101,C91
Z9481,Z94
F1411,F14
I513,I51
I82290,I82
I82210,I82
Z856,Z85
F1310,F13
Z8701,Z87
J951,J95
N35912,N35
E538,E53
K900,K90
Z8546,Z85
Z96611,Z96
C160,C16
Z6834,Z68
72403,M48
73730,M40
75612,Q75
F200,F20
I071,I07
R112,R11
T8089XA,T80
R002,R00
Z85528,Z85
Z905,Z90
I361,I36
E806,E80
R300,R30
4259,I42
29532,F20
V1052,Z85
V8532,Z68
E8768,
T85694A,T85
D869,D86
F39,F39
99657,T82
7916,R80
G43109,G43
D803,D80
S37062A,S37
T794XXA,T79
D7581,D75
W1809XA,W18
I878,I87
I722,I72
R5081,R50
D550,D55
K439,K43
L7622,L76
D75A,D75
Z89611,Z89
I491,I49
L743,L74
T85898A,T85
I638,I63
Z8543,Z85
R29710,R29
Z8489,Z84
33520,G12
72402,M48
V1202,
V454,Z95
57400,K80
5562,K51
57410,K80
3320,G20
1970,C78
1889,C67
1881,C67
59971,N39
99989,T88
T82897A,T82
I7777,I77
I97630,I97
F411,F41
Z6827,Z68
I69392,I69
K5909,K59
79551,R87
I6310,I63
R502,R50
4558,K64
W1839XA,W18
Y92002,Y92
H4010X0,H40
S0181XA,S01
N289,N28
M5417,M54
M5416,M54
1622,C33
51189,R09
V4561,Z95
V431,
V163,Z80
V1642,Z80
33818,G89
9972,
5569,K51
S1189XA,S11
Y839,Y83
I720,I72
R58,R58
I6521,I65
C329,C32
K2090,K20
K9429,K94
1541,C19
42741,I47
1629,C33
1971,C78
4238,I31
07032,B15
07070,B15
41189,I24
7295,M79
9086,
34550,G40
E9290,
S0262XA,S02
S25512A,S25
S36892A,S36
S030XXA,S03
Y040XXA,Y04
8020,S02
E9600,
5185,J98
0539,B02
515,J84
C770,C77
C029,C02
R21,R21
T730XXS,T73
T68XXXA,T68
Y908,Y90
R9431,R94
9982,T81
E8706,
4373,I67
430,I60
48242,J15
34489,G82
5719,K70
I25810,I25
0840,B50
2839,D59
2512,
M5481,M54
56212,K57
2113,
4550,K64
53540,K29
4011,I10
Q282,Q28
M479,M47
D72828,D72
2841,D61
4414,I71
I2602,I26
F5001,F50
F28,F28
F514,F51
F603,F60
E038,E03
F1220,F12
T4275XA,T42
I4581,I45
K047,K04
Z1639,Z16
T17920A,T17
R490,R49
G061,G06
K5090,K50
M4626,M46
R197,R19
K50013,K50
K6812,K68
F1123,F11
7802,R45
T84010A,T84
I5030,I50
W1830XA,W18
30300,F10
96509,
I6523,I65
I69320,I69
Z981,Z98
Z9842,Z98
Z9841,Z98
F0390,F03
6823,L03
30401,F11
29630,F30
5225,K04
52300,K05
70583,L74
8470,S13
30540,F10
30561,F10
V0262,
E9289,
I610,I61
I609,I60
I6200,I62
R29715,R29
N809,N80
53200,K26
78559,R00
73382,M81
C8339,C83
K9189,K91
N939,N93
K7689,K76
B009,B00
Z96649,Z96
S2232XA,S22
S14129A,S14
M4802,M48
